학년,CHAT GPT 사용 빈도수,CHAT GPT를 사용하여 과제를 한 적이 있나요?,CHAT GPT를 사용하여 불이익을 받은 적이 있나요?,예를 선택했다면 왜 불이익을 받게 되었는지 설명해주세요! ,CHAT GPT를 언제 가장 많이 사용하시나요? ,"CHAP GPT에 대한 신뢰도는 어느정도 되나요? (1: 안믿음, 5: 전적으로 믿음)","CHAP GPT의 창의성에 대해 어떻게 생각하시나요?           ( 1: 바보, 5: 아이디어 뱅크) ",
11학년,1주일에 5번 이상,예,아니오,,과제,3,1,
11학년,1주일에 3번 이하,예,아니오,,아이디어 필요,3,2,
7학년,사용 잘 안함,아니오,아니오,,안씁니다,3,3,
10학년,하루에 3번 이상,예,아니오,,과제,3,2,
7학년,사용 잘 안함,아니오,아니오,,안씁니다,3,3,
7학년,사용 잘 안함,아니오,아니오,,아이디어 필요,4,4,
9학년,하루에 3번 이상,아니오,아니오,,"과학, 수학 문제 풀이를 원할 때",4,4,
7학년,사용 잘 안함,아니오,아니오,,저녁 메뉴 선정,2,3,
8학년,사용 잘 안함,아니오,아니오,,사용하지 않는다,4,2,
9학년,사용 잘 안함,예,예,AI가 말을 잘 못 알아들어서 30분을 낭비했던 경험이 있다.,아이디어 필요,2,2,
10학년,1주일에 5번 이상,예,예,근거가 부족한 주장 혹은 증명하기 까다로운 근거를 제시해서요,과제,3,2,
10학년,사용 잘 안함,아니오,아니오,,저녁 메뉴 선정,3,3,
11학년,사용 잘 안함,아니오,아니오,,아이디어 필요,3,3,
8학년,사용 잘 안함,예,아니오,,아이디어 필요,3,4,
7학년,사용 잘 안함,아니오,아니오,,CHAT GPT 를 쓴적이 없음,3,5,
11학년,1주일에 5번 이상,예,아니오,,아이디어 필요,3,1,
9학년,1주일에 3번 이하,아니오,아니오,,아이디어 필요,2,3,
7학년,사용 잘 안함,아니오,아니오,,아이디어 필요,4,4,
7학년,사용 잘 안함,아니오,아니오,,친구랑 할게 없을때,4,4,
11학년,1주일에 3번 이하,예,아니오,,과제,3,4,
20대,1주일에 3번 이하,예,아니오,,과제,3,2,
9학년,사용 잘 안함,아니오,아니오,,아이디어 필요,4,4,
7학년,사용 잘 안함,예,아니오,,저녁 메뉴 선정,3,4,
8학년,사용 잘 안함,아니오,아니오,,"과학, 수학 문제 풀이를 원할 때",4,4,
9학년,하루에 3번 이상,예,아니오,,아이디어 필요,4,1,
11학년,1주일에 5번 이상,예,아니오,,과제,4,1,
8학년,사용 잘 안함,아니오,아니오,,아이디어 필요,3,5,
9학년,하루에 3번 이상,예,예,gpt를 사용하여 과제하다 선생님에게 걸림,과제,4,3,
11학년,하루에 1번,예,아니오,,대회 준비,4,3,
7학년,사용 잘 안함,아니오,아니오,,아이디어 필요,3,5,
11학년,하루에 1번,예,아니오,,아이디어 필요,3,2,
40대 이상,사용 잘 안함,아니오,아니오,,잘 사용하지 않으므로 잘 모르겠음,3,5,
11학년,1주일에 3번 이하,예,아니오,,과제,3,2,
11학년,1주일에 3번 이하,예,아니오,,과제,3,3,
11학년,1주일에 3번 이하,예,아니오,,아이디어 필요,3,4,
11학년,1주일에 5번 이상,예,아니오,,과제,4,2,
11학년,1주일에 5번 이상,예,아니오,,정보과학,4,3,
40대 이상,사용 잘 안함,아니오,아니오,,안 써요,3,2,
11학년,1주일에 3번 이하,예,아니오,,아이디어 필요,3,4,
8학년,사용 잘 안함,아니오,아니오,,심심할때,2,3,
9학년,하루에 1번,예,아니오,,아이디어 필요,3,3,
7학년,사용 잘 안함,아니오,아니오,,재미로 가끔 들러요,1,1,
11학년,하루에 3번 이상,예,예,"Chat GPT 초기 버전을 사용할때 Chat GPT를 이용하여 논문을 검색했었는데, 존재하지도 않는 논문을 GPT 가 지어내어 알려주었었다.",과제,4,3,
11학년,1주일에 5번 이상,예,예,지피티가 실수해서,과제,4,5,
7학년,사용 잘 안함,아니오,아니오,,사용한적 없음,2,3,
10학년,하루에 1번,예,예,,코딩,3,2,
20대,1주일에 3번 이하,예,아니오,,과제,2,2,
10학년,하루에 3번 이상,예,예,,과제,3,3,
9학년,1주일에 3번 이하,예,아니오,,아이디어 필요,4,4,
7학년,1주일에 3번 이하,예,아니오,,과제,5,4,
12학년,하루에 1번,예,아니오,,코딩,2,3,
12학년,하루에 1번,예,예,대신 과제해준 사실이 걸려서 ,코딩,3,2,
7학년,사용 잘 안함,예,아니오,,과제,3,3,
11학년,사용 잘 안함,예,아니오,,과제,3,4,
8학년,하루에 1번,예,아니오,지피티가 말도 안되는 말을 당당하세 해서 진짜인줄 알았다,과제,4,4,
11학년,1주일에 5번 이상,예,아니오,,과제,3,1,
11학년,하루에 1번,예,아니오,,과제,3,1,
11학년,1주일에 5번 이상,예,아니오,,과제,4,5,
11학년,1주일에 5번 이상,예,아니오,,과제,4,4,
11학년,하루에 3번 이상,예,아니오,,과제,2,1,
11학년,하루에 3번 이상,예,예,,과제,3,2,
11학년,1주일에 3번 이하,예,아니오,,과제,4,4,
11학년,1주일에 5번 이상,예,아니오,,논문 작성,5,3,
8학년,사용 잘 안함,예,예,알잘딱깔센으로 질문에 대한 답을 안줘요ㅜㅜㅜ,저녁 메뉴 선정,1,1,
7학년,하루에 1번,예,아니오,,과제,4,4,
12학년,하루에 1번,예,예,"chat gpt 를 사용하며 많은 이익을 받았지만, 질문을 조금이라도 잘못하거나 구체적으로 하지 않았을 때 원하는 답과 전혀 연관없는 답을 내어놓는게 과제를 하는데 불이익을 줌",과제,4,2,
8학년,1주일에 3번 이하,아니오,예,챗 지피티 자체가 인공지능이기 때문에 모든 주제에 굉장히 중립적인 대답을 해주어서 자료 조사를 할 때 어려움을 겪었다.,자료 조사(MUN 등),2,4,
20대,하루에 1번,예,아니오,,과제,2,2,
7학년,사용 잘 안함,아니오,아니오,,"과학, 수학 문제 풀이를 원할 때",3,4,
11학년,하루에 1번,예,아니오,,과제,3,2,
11학년,하루에 3번 이상,예,아니오,,대회 준비,5,5,
9학년,하루에 3번 이상,예,아니오,,아이디어 필요,4,5,
11학년,하루에 1번,예,아니오,,과제,4,1,
7학년,사용 잘 안함,아니오,아니오,,친구랑 할거없을때,4,4,
9학년,사용 잘 안함,예,아니오,,과제,3,3,
40대 이상,1주일에 5번 이상,예,아니오,,논문 작성,4,3,
9학년,1주일에 5번 이상,예,아니오,,과제,2,2,
7학년,1주일에 3번 이하,예,예,과제주제와 상관 없는 말을 해서,과제,3,3,
10학년,1주일에 3번 이하,예,아니오,,과제,3,3,
8학년,1주일에 3번 이하,예,아니오,,과제,2,4,
7학년,1주일에 3번 이하,예,아니오,,과제,4,4,
9학년,하루에 3번 이상,아니오,아니오,,아이디어 필요,4,5,
8학년,1주일에 3번 이하,예,예,,과제,3,4,
7학년,1주일에 5번 이상,예,아니오,,과제,3,4,
11학년,1주일에 5번 이상,예,아니오,,코딩,3,2,
12학년,1주일에 5번 이상,예,아니오,,코딩,3,2,
7학년,1주일에 3번 이하,예,아니오,,아이디어 필요,4,4,
8학년,1주일에 3번 이하,예,예,,아이디어 필요,4,2,
10학년,1주일에 3번 이하,예,예,과학 문제를 물어봤는데 틀리게 설명해줬다,코딩,3,2,
9학년,1주일에 3번 이하,예,아니오,,아이디어 필요,4,3,
7학년,사용 잘 안함,예,아니오,,아이디어 필요,3,2,
7학년,하루에 1번,예,아니오,아님,궁금한 사실을 물어보기,4,4,
12학년,하루에 3번 이상,예,아니오,,과제,3,5,dlcl27
11학년,하루에 1번,예,아니오,"정해진 대답만 해줌, 대회 준비할 때 창의적인 답변을 해주지 않음 ","과제, 대회 준비, 아이디어 필요",2,4,
9학년,하루에 1번,예,아니오,자꾸 같은 말을 한다,"과제, 대회 준비, 코딩",3,2,
11학년,사용 잘 안함,예,예,"바드는 카메라, 사진 사용을 허용하는데 chat gpt는 유료 회원에게만 허용하여 불편함을 겪었습니다.","과제, 대회 준비, 아이디어 필요, 업무",4,3,
40대 이상,사용 잘 안함,아니오,아니오,,업무,2,4,
10학년,일주일 5번 이상,예,아니오,가끔 이상한 답변을 줄 때,"과제, 대회 준비, 아이디어 필요",3,2,
40대 이상,사용 잘 안함,아니오,아니오,,과제,3,3,
10학년,일주일 5번 이상,예,아니오,학년이 바뀌면서 이메일이 바뀌었는데 그 바뀐 이메일로 로그인이 되는게 아니라 예전 이메일로만 로그인이 됐다.,"과제, 코딩",3,4,
40대 이상,일주일에 3번 이하,예,예,,코딩,4,3,
40대 이상,일주일에 3번 이하,예,아니오,"질문을 정확하게 이해하고 답변하는 수준이라 보기에는 어려움.  최소한 1번 이상 재해석을 통해 정보를 판단해야 함. 이 부분은 전체적인 성능의 문제로, 명령프롬프트의 사용법에 대한 문제는 아닌 것으로 보임.","아이디어 필요, 업무",4,4,